name	reasons
帅帅精致家常味(长乐路店)	evidence_summary 不足200字（当前 0）
福和面馆(昆山花园路总店)	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数）
光头生煎(山阴路店)	evidence_summary 不足200字（当前 0）
来来来·泰国街边排档(长乐路店)	evidence_summary 不足200字（当前 0） | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
La Jade	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数）
RONG融	evidence_summary 不足200字（当前 0） | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
Ortensia Shanghai	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
鮨琉璃	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
三佰杯	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
2乙酒馆	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数）
Endo	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
MIYARAKU宫楽	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
Hide the Smoked Room	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
洋房333	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
huma 1095	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
OnCue	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
鮨心和	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['other']；须 UGC + 官方指南/媒体/地图 至少两类）
奈良本寿司	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['other']；须 UGC + 官方指南/媒体/地图 至少两类）
季福楼	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
九福里	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
乾璟荟	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
上式楼	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
吾观·私宴	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
瑞香苑一号	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
北外滩隐世融合私宴	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
Tuttu	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
兰亭集私房菜	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
永嘉路557海派板前	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
思南海派私房菜	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['other']；须 UGC + 官方指南/媒体/地图 至少两类）
繁花滨江私宴	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
林家一·山海宴	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | 来源类型少于2类（当前 ['ugc']；须 UGC + 官方指南/媒体/地图 至少两类）
EIGHT UNDER	evidence_summary 不足200字（当前 0） | 堂食食客证据少于 2 条（当前 1） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['media']；须 UGC + 官方指南/媒体/地图 至少两类）
